"";"County Name";"Population"
"228";"Andrews";"22269"
"229";"Andrews";"22269"
"230";"Andrews";"22269"
"231";"Andrews";"22269"
"232";"Andrews";"22269"
"233";"Andrews";"22269"
"234";"Andrews";"22269"
"235";"Andrews";"22269"
"236";"Andrews";"22269"
"237";"Andrews";"22269"
"238";"Andrews";"22269"
"239";"Andrews";"22269"
"240";"Andrews";"22269"
"241";"Andrews";"22269"
"242";"Andrews";"22269"
"243";"Andrews";"22269"
"244";"Andrews";"22269"
"245";"Andrews";"22269"
"246";"Andrews";"22269"
"247";"Andrews";"22269"
"248";"Andrews";"22269"
"249";"Andrews";"22269"
"250";"Andrews";"22269"
"251";"Andrews";"22269"
"252";"Andrews";"22269"
"253";"Andrews";"22269"
"254";"Andrews";"22269"
"255";"Andrews";"22269"
"256";"Andrews";"22269"
"257";"Andrews";"22269"
"258";"Andrews";"22269"
"259";"Andrews";"22269"
"260";"Andrews";"22269"
"261";"Andrews";"22269"
"262";"Andrews";"22269"
"263";"Andrews";"22269"
"264";"Andrews";"22269"
"265";"Andrews";"22269"
"266";"Andrews";"22269"
"267";"Andrews";"22269"
"268";"Andrews";"22269"
"269";"Andrews";"22269"
"270";"Andrews";"22269"
"271";"Andrews";"22269"
"272";"Andrews";"22269"
"273";"Andrews";"22269"
"274";"Andrews";"22269"
"275";"Angelina";"90437"
"276";"Angelina";"90437"
"277";"Angelina";"90437"
"278";"Angelina";"90437"
"279";"Angelina";"90437"
"280";"Angelina";"90437"
"281";"Angelina";"90437"
"282";"Angelina";"90437"
"283";"Angelina";"90437"
"284";"Angelina";"90437"
"285";"Angelina";"90437"
"286";"Angelina";"90437"
"287";"Angelina";"90437"
"288";"Angelina";"90437"
"289";"Angelina";"90437"
"290";"Angelina";"90437"
"291";"Angelina";"90437"
"292";"Angelina";"90437"
"293";"Angelina";"90437"
"294";"Angelina";"90437"
"295";"Angelina";"90437"
"296";"Angelina";"90437"
"297";"Angelina";"90437"
"298";"Angelina";"90437"
"299";"Angelina";"90437"
"300";"Angelina";"90437"
"301";"Angelina";"90437"
"302";"Angelina";"90437"
"303";"Angelina";"90437"
"304";"Angelina";"90437"
"305";"Angelina";"90437"
"306";"Angelina";"90437"
"307";"Angelina";"90437"
"308";"Angelina";"90437"
"309";"Angelina";"90437"
"310";"Angelina";"90437"
"311";"Angelina";"90437"
"312";"Angelina";"90437"
"313";"Angelina";"90437"
"314";"Angelina";"90437"
"315";"Angelina";"90437"
"316";"Angelina";"90437"
"317";"Angelina";"90437"
"318";"Angelina";"90437"
"319";"Angelina";"90437"
"320";"Angelina";"90437"
"321";"Angelina";"90437"
"322";"Angelina";"90437"
"323";"Angelina";"90437"
"324";"Angelina";"90437"
"325";"Angelina";"90437"
"326";"Angelina";"90437"
"327";"Angelina";"90437"
"328";"Angelina";"90437"
"329";"Angelina";"90437"
"330";"Angelina";"90437"
"331";"Angelina";"90437"
"332";"Angelina";"90437"
"333";"Angelina";"90437"
"334";"Angelina";"90437"
"335";"Angelina";"90437"
"336";"Angelina";"90437"
"337";"Angelina";"90437"
"338";"Angelina";"90437"
"339";"Angelina";"90437"
"340";"Angelina";"90437"
"341";"Angelina";"90437"
"342";"Angelina";"90437"
"343";"Angelina";"90437"
"344";"Angelina";"90437"
"345";"Angelina";"90437"
"346";"Angelina";"90437"
"347";"Angelina";"90437"
"348";"Angelina";"90437"
"349";"Angelina";"90437"
"350";"Angelina";"90437"
"351";"Angelina";"90437"
"352";"Angelina";"90437"
"353";"Angelina";"90437"
"354";"Angelina";"90437"
"355";"Angelina";"90437"
"356";"Angelina";"90437"
"357";"Angelina";"90437"
"358";"Angelina";"90437"
"359";"Angelina";"90437"
"360";"Angelina";"90437"
"361";"Angelina";"90437"
"362";"Angelina";"90437"
"363";"Angelina";"90437"
"364";"Angelina";"90437"
"365";"Angelina";"90437"
"366";"Angelina";"90437"
"367";"Angelina";"90437"
"368";"Angelina";"90437"
"369";"Angelina";"90437"
"370";"Angelina";"90437"
"371";"Angelina";"90437"
"372";"Angelina";"90437"
"373";"Angelina";"90437"
"374";"Angelina";"90437"
"375";"Angelina";"90437"
"376";"Angelina";"90437"
"377";"Angelina";"90437"
"378";"Angelina";"90437"
"379";"Angelina";"90437"
"380";"Angelina";"90437"
"381";"Angelina";"90437"
"382";"Angelina";"90437"
"383";"Angelina";"90437"
"384";"Angelina";"90437"
"385";"Angelina";"90437"
"386";"Angelina";"90437"
"387";"Angelina";"90437"
"388";"Angelina";"90437"
"389";"Angelina";"90437"
"390";"Angelina";"90437"
"391";"Angelina";"90437"
"392";"Angelina";"90437"
"393";"Angelina";"90437"
"394";"Angelina";"90437"
"395";"Angelina";"90437"
"396";"Angelina";"90437"
"397";"Angelina";"90437"
"398";"Angelina";"90437"
"399";"Angelina";"90437"
"400";"Angelina";"90437"
"401";"Angelina";"90437"
"402";"Angelina";"90437"
"403";"Angelina";"90437"
"404";"Angelina";"90437"
